2022-11-28 14:41:16,424 - DEBUG - time: 3.2, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,428 - DEBUG - time: 3.3, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,430 - DEBUG - time: 3.3, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,434 - DEBUG - time: 3.4, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,436 - DEBUG - time: 3.4, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,439 - DEBUG - time: 3.5, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,441 - DEBUG - time: 3.5, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,444 - DEBUG - time: 3.6, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,446 - DEBUG - time: 3.6, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,448 - DEBUG - time: 3.7, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,450 - DEBUG - time: 3.7, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,454 - DEBUG - time: 3.8, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,456 - DEBUG - time: 3.8, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,460 - DEBUG - time: 3.9, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,462 - DEBUG - time: 3.9, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,465 - DEBUG - time: 4.0, id: 0, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,468 - DEBUG - time: 4.0, id: 1, could change: False, False, state: ([], []), ([], []), False, False
2022-11-28 14:41:16,471 - DEBUG - time: 4.1, id: 0, could change: False, False, state: ([], []), ([], []), False, False
