x: 1.0, y: 0.0, v: 10.0, theta: 0.0
x: 20.9092937786638, y: 16.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 17.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 18.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 19.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 20.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 21.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 22.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 23.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 24.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 25.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 26.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 27.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 28.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 29.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 30.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 31.920571463604507, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 32.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 33.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 34.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 35.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 36.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 37.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 38.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 39.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 40.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 41.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 42.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 43.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 44.9205714636045, v: 10.0, theta: 90.00000000000001
x: 20.9092937786638, y: 45.9205714636045, v: 10.0, theta: 90.00000000000001
